id,latitude,longitude
44054,39.89503,116.45163
100213,40.68434,117.17231
128496,39.93213,116.422
161902,39.93357,116.43577
162144,39.93668,116.43798
279078,39.93958,116.43485
282825,39.93712,116.45089
287026,39.94115,116.44122
287511,39.94032,116.44227
314453,39.93943,116.43362
317195,39.93946,116.43545
322292,39.93849,116.44066
398784,39.89403,116.44896
445306,39.91342,116.41837
456641,39.93848,116.44248
458561,39.93967,116.44128
491280,39.93516,116.43682
498126,39.94059,116.44175
537674,39.92412,116.37063
554123,39.93879,116.4412
627240,39.94956,116.34887
685820,39.90133,116.48154
732687,39.85983,116.3892
762579,39.94612,116.34326
824570,39.89854,116.48338
829407,39.939,116.39128999999998
851984,39.93923,116.39094
855090,39.93946,116.39161
873692,40.68602,117.17304
906434,39.94632,116.39265
940126,40.1044,116.54955
975146,39.93994,116.42345
1001527,39.94012,116.43792
1087381,39.93795,116.43538999999998
1115437,39.90366,116.43564
1124875,39.92637,116.25927
1160338,39.91731,116.45479
1160910,39.91901,116.41932
1165040,39.92155,116.42247
1165067,39.9208,116.42047
1198579,39.92088,116.42236
1199365,39.91924,116.44387
1237187,39.89485,116.45172
1276777,39.89504,116.45131
1285333,39.99381,116.49936
1302948,39.92062,116.42054
1303113,39.92051,116.42229
1303170,39.921040000000005,116.42078
1325945,39.99212,116.4987
1370541,39.75601,116.2124
1484562,39.92575,116.52235
1521874,39.94829,116.49684
1543047,39.93793,116.39264
1635589,40.00121,116.4836
1642183,39.92164,116.48291
1643534,39.88122,116.44044
1661849,39.92553,116.36991
1694369,39.89326,116.43438
1777848,39.97983,116.49724
1779178,39.91094,116.57713
1784379,39.956,116.30165
1787002,39.9406,116.42196
1787751,39.93601,116.43684
1834479,39.89265,116.60724
1834587,39.98808,116.50903
1837260,39.90384,116.57642
1900447,39.92277,116.40404
1925662,39.97536,116.33664
1941773,39.97832,116.33714
1941997,39.98047,116.33857
2005158,39.93633,116.4148
2022824,39.93856,116.43458
2077431,39.92176,116.42238
2095350,39.89905,116.45213
2098657,39.93686,116.45738
2139790,39.92661,116.29503
2190095,39.93023,116.51506
2229512,39.89587,116.30751
2414072,39.91859,116.4628
2432965,39.94102,116.44019
2433033,39.94019,116.44458
2433122,39.94138,116.44197
2540862,39.94728,116.41085
2556768,40.37722,116.53817
2560741,40.02132,116.4321
2634250,39.97475,116.48242
2717860,40.09031,116.56315
2719982,40.07707,116.5684
2779504,39.89524,116.45179
2779901,39.89392,116.45123999999998
2797791,40.47275,116.54455
2889922,39.93528,116.44525
2989696,39.993120000000005,116.31588
3015545,40.07033,116.4258
3069570,40.08659,116.73716
3077753,39.95026,116.46785
3085229,39.99088,116.33763
3097388,39.92787,116.46037
3105131,39.91508,116.40774
3114942,39.93485,116.46343
3116888,39.95108,116.45362
3139576,39.82466,116.55588
3200395,39.89394,116.4503
3211028,39.98926,116.56393
3231112,39.981840000000005,116.42445
3371149,39.87509,116.37138
3387246,39.91005,116.5776
3387406,39.90892,116.57295
3389315,40.44715,116.44703
3416332,40.04543,116.29498
3429464,39.92102,116.58759
3499185,39.92316,116.456
3518354,39.9234,116.50636000000002
3571646,39.8853,116.46043
3649223,39.99006,116.33791
3681827,39.8628,116.42502
3714901,39.97616,116.49344
3725519,39.91979,116.45257
3734120,39.92259,116.28612
3793864,39.91657,116.45269
3795645,39.91994,116.4552
3795992,39.91812,116.45609
3796163,39.92082,116.33888
3802970,39.91844,116.45574
3803542,39.91678,116.45329
3804282,39.84902,116.36103
3813723,39.92223,116.33543
3821936,39.91637,116.4528
3863360,39.91096,116.49851
3865812,39.97382,116.40949
3866222,39.84212,116.36148
3878233,39.90804,116.57145
3899392,39.89086,116.30019
3927018,39.91897,116.45598
3953376,39.90881,116.47487
3953745,39.90858,116.47317
3963178,39.91383,116.49296
3971474,39.91567,116.46738
4009069,39.91986,116.50248
4009332,39.91949,116.49621
4016289,39.92008,116.45555
4018161,39.94143,116.44302
4018389,39.91942,116.45731
4025985,39.91698,116.45996
4028276,39.91817,116.49784
4028395,39.91783,116.4978
4028476,39.91927,116.49617
4028766,39.91967,116.50427
4028873,39.91854,116.50211000000002
4041258,39.91878,116.45636
4056031,39.8612,116.38085
4069460,40.05729,116.335
4085687,39.91732,116.45877
4091552,39.93783,116.45613
4093392,39.95319,116.39351
4102482,39.93974,116.44265
4106251,39.93143,116.48696
4106316,39.9654,116.5041
4121250,39.91912,116.37008
4121354,39.91967,116.37128
4121580,39.91901,116.37112
4152653,40.44871,116.44203
4165566,39.92105,116.37228
4175383,39.9223,116.4593
4219257,39.90995,116.57891
4222923,39.91038,116.57639
4258685,39.96979,116.32466
4278904,39.94379,116.46095
4280214,39.943740000000005,116.46751
4305365,39.844640000000005,116.35597
4305366,39.84922,116.3628
4408558,40.07509,116.33455
4408777,39.92927,116.45633
4415395,39.92013,116.51643
4457180,39.92753,116.3769
4494508,39.92951,116.4221
4585254,39.95165,116.44018
4610554,39.93789,116.38591
4625941,40.000040000000006,116.37378
4640119,39.89326,116.43916000000002
4731055,39.94462,116.39473999999998
4739385,39.94321,116.39707
4741091,39.89532,116.30979
4746548,39.92614,116.37633999999998
4778028,39.916140000000006,116.42817
4795169,39.91823,116.4535
