id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
1787002,Cozy local style room in hutong center of Beijing,9378155,Alamo,39.9406,116.42196,Private room,201,3,352
1787751,"sleep 4,studio near airport express",707535,Robert,39.93601,116.43684,Entire home/apt,537,1,352
1834479,"small room in chaoyang, shuangqiao",9591809,Snow,39.89265,116.60724,Private room,121,2,61
1834587,"welcome to beijing ,we have a room",9591809,Snow,39.98808,116.50903,Private room,121,2,16
1837260,"welcome to beijing, we have a room",9341318,Enoch,39.90384,116.57642,Private room,127,2,49
1900447,Modern courtyard in center of Beijing,722507,Craig,39.92277,116.40404,Entire home/apt,872,2,0
1925662,紧邻地铁周边温馨一居室大床房特价出租,9975678,怡家住宿,39.97536,116.33664,Entire home/apt,349,1,365
1941773,"""Happy home"" hotel apartment fine decoration",9975678,怡家住宿,39.97832,116.33714,Entire home/apt,349,1,360
1941997,知春路精装修温馨家庭房特价出租,9975678,怡家住宿,39.98047,116.33857,Entire home/apt,369,1,361
2005158,Modern cosy flat in hutong area,10323699,Alec,39.93633,116.4148,Entire home/apt,221,2,0
2022824,Studio Apartment in Central Beijing,1455726,Fiona,39.93856,116.43458,Entire home/apt,396,1,351
2077431,北京胡同人家——闹中取静的乾隆赐第旧址,8946249,Lina,39.92176,116.42238,Entire home/apt,275,3,213
2095350,fantastic city view around Guomao,5169497,Alexis,39.89905,116.45213,Private room,302,2,365
2098657,Sanlitun Home on the Cover of AD,2217662,Vicky,39.93686,116.45738,Entire home/apt,450,5,61
2139790,"拎包入住昆玉河畔独立一居,周边肿瘤､空军､304医院､家乐福,地铁公交便利｡",10917947,艳虹,39.92661,116.29503,Entire home/apt,315,1,347
2190095,2 bedrooms 2hall service Apartment,11169560,Chao,39.93023,116.51506,Entire home/apt,953,7,365
2229512,Huge 3bd-Rm Unit Near BJ West Sta.,11380168,Leslie,39.89587,116.30751,Private room,201,2,90
2414072,BEAUTIFUL NEW LUXURY LARGE 1 BR APT,12339716,Aaron,39.91859,116.4628,Entire home/apt,1074,1,365
2432965,Seasons Park Studio apartment #03,12437088,Claire,39.94102,116.44019,Entire home/apt,403,1,363
2433033,Seasons Park Studio apartment #01,12437088,Claire,39.94019,116.44458,Entire home/apt,403,1,359
2433122,Seasons Park 1 bedroom apartment (Dongzhimen) #1,12437088,Claire,39.94138,116.44197,Entire home/apt,503,1,361
2540862,Modern Loft Apt in Hip Neighborhood,598562,Rania,39.94728,116.41085,Entire home/apt,1208,3,358
2556768,"a awesome chestnut house,by mutianyu Great wall",10097902,Jimmy,40.37722,116.53817,Private room,1899,1,359
2560741,Romantic Apt next to the Green wood,8406670,Ying,40.02132,116.4321,Entire home/apt,302,3,270
2634250,Luxury 3 bedrooms Serviced Apt,11790218,Ying,39.97475,116.48242,Entire home/apt,1490,5,364
2717860,Free shuttle to the airport !subway,13908836,Pangxiaoliang,40.09031,116.56315,Entire home/apt,282,1,365
2719982,Free shuttle to the airport !subway,13908836,Pangxiaoliang,40.07707,116.5684,Entire home/apt,282,1,365
2779504,Comfortable 5 Beds 3Bedroom/2BTH Apt near CBD,192875,East Apartments,39.89524,116.45179,Entire home/apt,1007,1,351
2779901,3BD/2BTH (4Beds) Serviced Apt (A40),192875,East Apartments,39.89392,116.45124,Entire home/apt,819,1,350
2797791,Beijing Great Wall Escape,14311129,Andrew,40.47275,116.54455,Entire home/apt,953,1,355
2889922,东二环工体对面步行到三里屯5分钟,14770202,庆敏,39.93528,116.44525,Entire home/apt,980,1,364
2989696,A private room in Northwest Beijing,3506659,Fan&Sam,39.99312,116.31588,Private room,302,2,64
3015545,天通苑地铁站精装修大卧室出租,15366694,石,40.07033,116.4258,Private room,168,1,365
3069570,Traditional China House in a Garden,12339709,Xuan,40.08659,116.73716,Entire home/apt,953,3,358
3077753,Hotel-style apt close to Sanlitun,5093349,Bryce,39.95026,116.46785,Entire home/apt,248,2,0
3085229,北京五道口华清嘉园漂亮2房3号楼20层,15699445,Ben,39.99088,116.33763,Entire home/apt,3000,15,363
3097388,Upscale 1-BR Apt in City Center,5460330,Wei Qing,39.92787,116.46037,Entire home/apt,570,3,353
3105131,Cozy Flat Close To Forbidden City,15786034,Jason,39.91508,116.40774,Entire home/apt,423,3,234
3114942,Apartment near Sanlitun Area,15827578,Xi,39.93485,116.46343,Entire home/apt,1503,7,83
3116888,2-bedroom diplomat home near subway,15838559,Weimin,39.95108,116.45362,Entire home/apt,591,2,0
3139576,Cool LOFT close to Li-Ning Center,10116182,Ted,39.82466,116.55588,Private room,201,2,321
3200395,3 bed/2BTH (5Beds) Serviced Apt (A32),192875,East Apartments,39.89394,116.4503,Entire home/apt,859,1,357
3211028,"Yuppie王凯丽的空间,您旅途中的避风港",11379144,凯丽,39.98926,116.56393,Private room,235,1,365
3231112,隐居三里屯,10264962,Bobo,39.98184,116.42445,Entire home/apt,1342,7,88
3371149,靠近皇城根天安门故宫的温馨舒适现代公寓,17007374,Mumu,39.87509,116.37138,Entire home/apt,698,2,176
3387246,Modern&Comfy Large Studio near CBD,5557443,Jade,39.91005,116.5776,Entire home/apt,336,1,364
3387406,Comfy Studio Near CBD,5557443,Jade,39.90892,116.57295,Entire home/apt,336,1,365
3389315,Lovely Great Wall Country House,4638979,Patrick,40.44715,116.44703,Entire home/apt,1503,2,83
