listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
1521874,2019-07-14,t,$138.00,$138.00,1.0,1125.0
1521874,2019-06-05,f,$138.00,$138.00,1.0,1125.0
1543047,2019-12-14,t,$282.00,$282.00,2.0,40.0
1543047,2019-07-22,f,$282.00,$282.00,2.0,40.0
1635589,2019-08-05,f,$200.00,$200.00,2.0,1125.0
1635589,2019-05-12,f,$200.00,$200.00,2.0,1125.0
1642183,2020-01-30,t,$500.00,$500.00,1.0,1125.0
1642183,2019-11-22,t,$270.00,$270.00,1.0,1125.0
1643534,2019-06-18,t,$377.00,$377.00,2.0,1125.0
1643534,2019-07-20,t,$377.00,$377.00,2.0,1125.0
1661849,2020-04-03,t,$820.00,$820.00,1.0,365.0
1661849,2019-07-22,f,$1698.00,$1698.00,1.0,365.0
1694369,2019-08-06,t,$658.00,$658.00,4.0,730.0
1694369,2020-02-07,t,$658.00,$658.00,4.0,730.0
1777848,2019-08-22,t,$500.00,$500.00,3.0,1125.0
1777848,2019-10-04,t,$500.00,$500.00,3.0,1125.0
1779178,2019-11-03,f,$150.00,$150.00,1.0,365.0
1779178,2019-12-22,f,$150.00,$150.00,1.0,365.0
1784379,2019-07-11,t,$201.00,$201.00,1.0,1125.0
1784379,2020-02-28,f,$228.00,$228.00,1.0,1125.0
1787002,2020-01-08,t,$215.00,$215.00,3.0,120.0
1787002,2019-07-06,t,$215.00,$215.00,3.0,120.0
1787751,2019-12-10,t,$537.00,$537.00,1.0,1125.0
1787751,2019-08-08,t,$537.00,$537.00,1.0,1125.0
1834479,2020-03-12,f,$146.00,$146.00,2.0,365.0
1834479,2019-07-26,f,$146.00,$146.00,2.0,365.0
1834587,2019-04-18,f,$158.00,$158.00,2.0,365.0
1834587,2019-08-20,f,$158.00,$158.00,2.0,365.0
1837260,2019-11-10,f,$149.00,$149.00,2.0,365.0
1837260,2019-09-10,f,$149.00,$149.00,2.0,365.0
1900447,2019-07-20,f,$1007.00,$1007.00,2.0,1125.0
1900447,2019-09-04,f,$1007.00,$1007.00,2.0,1125.0
1925662,2019-04-27,t,$348.00,$348.00,1.0,1125.0
1925662,2019-11-18,t,$348.00,$348.00,1.0,1125.0
1941773,2019-07-23,t,$348.00,$348.00,1.0,1125.0
1941773,2019-11-07,t,$348.00,$348.00,1.0,1125.0
1941997,2019-05-28,t,$368.00,$368.00,1.0,1125.0
1941997,2019-10-18,t,$428.00,$428.00,1.0,1125.0
2005158,2020-03-21,f,$219.00,$219.00,2.0,1125.0
2005158,2019-09-05,f,$219.00,$219.00,2.0,1125.0
2022824,2019-10-03,t,$395.00,$395.00,1.0,1125.0
2022824,2020-04-11,t,$395.00,$395.00,1.0,1125.0
2077431,2020-01-31,t,$302.00,$302.00,3.0,1125.0
2077431,2019-12-23,t,$302.00,$302.00,3.0,1125.0
2095350,2020-04-14,t,$302.00,$302.00,2.0,1125.0
2095350,2019-09-08,t,$302.00,$302.00,2.0,1125.0
2098657,2019-06-02,t,$450.00,$428.00,5.0,70.0
2098657,2020-01-11,f,$450.00,$428.00,5.0,70.0
2139790,2020-01-01,t,$318.00,$318.00,1.0,1125.0
2139790,2020-03-18,t,$318.00,$318.00,1.0,1125.0
2190095,2019-12-07,t,$950.00,$950.00,7.0,180.0
2190095,2020-02-15,t,$950.00,$950.00,7.0,180.0
2229512,2019-11-04,f,$198.00,$198.00,2.0,1125.0
2229512,2020-01-05,f,$198.00,$198.00,2.0,1125.0
2414072,2020-01-25,t,$1074.00,$1074.00,1.0,1125.0
2414072,2020-03-28,t,$1074.00,$1074.00,1.0,1125.0
2432965,2019-05-28,t,$445.00,$445.00,1.0,1125.0
2432965,2019-12-16,t,$400.00,$400.00,1.0,1125.0
2433033,2019-09-17,t,$400.00,$400.00,1.0,365.0
2433033,2019-08-27,t,$500.00,$500.00,1.0,365.0
2433122,2019-06-30,t,$589.00,$589.00,1.0,360.0
2433122,2019-04-21,f,$536.00,$536.00,1.0,360.0
2540862,2019-05-27,t,$1208.00,$1208.00,3.0,90.0
2540862,2019-11-11,t,$1208.00,$1208.00,3.0,90.0
2556768,2019-10-05,t,$2500.00,$2500.00,1.0,30.0
2556768,2020-03-06,t,$2200.00,$2200.00,1.0,30.0
2560741,2019-08-30,t,$300.00,$300.00,3.0,1125.0
2560741,2019-09-21,t,$300.00,$300.00,3.0,1125.0
2634250,2020-03-26,t,$1544.00,$1544.00,5.0,1125.0
2634250,2019-06-14,t,$1500.00,$1500.00,5.0,1125.0
2717860,2020-03-05,t,$299.00,$299.00,1.0,100.0
2717860,2019-05-20,t,$280.00,$280.00,1.0,100.0
2719982,2020-02-03,t,$297.00,$297.00,1.0,100.0
2719982,2020-03-07,t,$408.00,$408.00,1.0,100.0
2779504,2020-03-24,t,$1007.00,$1007.00,1.0,365.0
2779504,2019-11-29,t,$1007.00,$1007.00,1.0,365.0
